
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,2
0,1,4
0,2,5
0,3,7
0,4,8
0,5,10
0,5,12
0,6,13
0,7,14
0,7,16
0,8,18
0,9,19
0,10,20
0,10,22
0,11,24
0,12,25
0,13,26
0,13,28
0,14,29
0,15,31
0,16,32
0,16,34
0,17,36
0,18,38
0,19,39
0,20,41
0,21,42
0,22,44
0,23,45
0,24,47
0,24,49
0,25,51
0,26,52
0,26,54
0,27,56
0,28,57
0,29,58
0,29,60
0,30,61
0,31,63
0,32,64
0,33,66
0,34,67
0,35,69
0,36,70
0,36,72
0,37,73
0,38,75
0,39,76
0,39,78
0,40,80
0,41,82
0,42,83
0,42,85
0,43,86
0,44,88
0,45,89
0,45,91
0,46,92
0,47,94
0,47,95
0,48,97
0,49,98
0,50,100
0,51,101
0,52,103
0,53,104
0,54,106
0,55,107
0,55,109
0,56,110
0,57,112
0,57,113
0,58,114
0,59,116
0,60,118
0,61,119
0,61,121
0,62,123
0,63,125
0,64,126
0,64,127
0,65,129
0,66,130
0,66,131
0,67,132
0,68,134
0,69,136
0,70,137
0,71,139
0,72,141
0,73,143
0,74,144
0,74,146
0,75,148
0,76,150
0,77,151
0,78,153
0,79,154
0,80,156
0,80,157
0,81,158
0,81,160
0,82,162
0,82,163
0,83,164
0,84,166
0,85,168
0,85,169
0,86,170
0,87,172
0,88,174
0,89,175
0,90,176
0,91,178
0,92,180
0,93,181
0,93,182
0,94,184
0,95,186
0,95,187
0,96,188
0,97,190
0,98,191
0,98,193
0,99,195
0,100,197
0,101,198
0,101,200
0,102,201
0,103,203
0,104,204
0,104,206
0,106,207
0,107,209
0,108,210
0,108,212
0,109,213
0,110,215
0,111,216
0,111,218
0,112,219
0,113,221
0,114,222
0,114,224
0,115,226
0,116,227
0,117,228
0,117,228
0,118,228
0,119,227
0,121,226
0,122,226
0,123,225
0,124,225
0,125,225
0,127,225
0,128,225
0,129,225
0,130,225
0,130,225
0,131,225
0,133,224
0,134,224
0,134,224
0,136,224
0,137,224
0,138,224
0,138,224
0,139,224
0,140,223
0,141,223
0,141,223
0,143,223
0,144,222
0,145,222
0,147,222
0,148,222
0,149,222
